experiment,d,kappa,lambda1,lambda_plus,selection_rule,n_quick,candidates,eta,quick_seed,converged,iterations,true_grad_norm,func_evals,hessian_index
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,42,True,238,9.484241822163115e-05,16660,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,1041,True,233,9.501522829609893e-05,16310,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,2040,True,231,9.854224145016887e-05,16170,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,42,True,118,9.29064530243658e-05,8260,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,1041,True,109,9.731945500498576e-05,7630,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,2040,True,111,9.232673725097697e-05,7770,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,42,True,76,9.11867150336672e-05,5320,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,1041,True,58,9.209281477983881e-05,4060,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,2040,True,72,9.905221500164461e-05,5040,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,42,True,100,9.230545457903409e-05,7000,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,1041,True,125,9.184916748201535e-05,8750,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,2040,True,88,9.906094185700035e-05,6160,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,42,False,3000,962478655009506.4,210000,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,1041,False,3000,761389674093654.1,210000,1
df_quadratic_kappa,10,1,-10.0,10.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,2040,False,3000,296278552619008.06,210000,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,42,True,2073,9.959215371598366e-05,145110,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,1041,True,2034,9.966177745283997e-05,142380,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,2040,True,2079,9.897793807625262e-05,145530,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,42,True,1040,9.977274645793934e-05,72800,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,1041,True,1002,9.809975283011232e-05,70140,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,2040,True,1034,9.964793369753378e-05,72380,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,42,True,524,9.925799802402147e-05,36680,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,1041,True,504,9.487094497440452e-05,35280,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,2040,True,519,9.783987928249715e-05,36330,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,42,True,217,9.848512863093521e-05,15190,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,1041,True,209,9.004512264399085e-05,14630,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,2040,True,208,8.970111989328832e-05,14560,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,42,True,117,9.77863489848992e-05,8190,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,1041,True,108,9.846995206563032e-05,7560,1
df_quadratic_kappa,10,10,-10.0,1.0,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,2040,True,109,9.245701382045375e-05,7630,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,42,False,3000,0.02282893930216704,210000,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,1041,False,3000,0.02105473393186835,210000,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,2040,False,3000,0.02066190874523291,210000,1
df_quadratic_kappa,10,50,-10.0,0.2,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,42,False,3000,0.0013039183209047345,210000,1
