experiment,d,kappa,lambda1,lambda_plus,method,trial,seed,eta,hisd_eta_selected,hisd_eta_candidates,hisd_eta_selection_rule,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,converged,iterations,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
df_quadratic_kappa,10,1,-10.0,10.0,DF-ADAM-H,0,42,0.05,0.02,"[0.005, 0.01, 0.02, 0.05, 0.1]",success_rate_then_mean_success_iters_then_final_grad_norm,0.01,5,5,3,0.0001,0.0001,3000,True,315,22050,9.954949792933965e-05,1,True,True,-10.0,10.0
df_quadratic_kappa,10,1,-10.0,10.0,DF-ADAM-H,1,142,0.05,0.02,"[0.005, 0.01, 0.02, 0.05, 0.1]",success_rate_then_mean_success_iters_then_final_grad_norm,0.01,5,5,3,0.0001,0.0001,3000,True,322,22540,8.970759391818941e-05,1,True,True,-10.0,10.0
df_quadratic_kappa,10,1,-10.0,10.0,DF-ADAM-H,2,242,0.05,0.02,"[0.005, 0.01, 0.02, 0.05, 0.1]",success_rate_then_mean_success_iters_then_final_grad_norm,0.01,5,5,3,0.0001,0.0001,3000,True,317,22190,9.890588416997369e-05,1,True,True,-10.0,10.0
df_quadratic_kappa,10,1,-10.0,10.0,DF-ADAM-H,3,342,0.05,0.02,"[0.005, 0.01, 0.02, 0.05, 0.1]",success_rate_then_mean_success_iters_then_final_grad_norm,0.01,5,5,3,0.0001,0.0001,3000,True,427,29890,9.620239645024581e-05,1,True,True,-10.0,10.0
df_quadratic_kappa,10,1,-10.0,10.0,DF-ADAM-H,4,442,0.05,0.02,"[0.005, 0.01, 0.02, 0.05, 0.1]",success_rate_then_mean_success_iters_then_final_grad_norm,0.01,5,5,3,0.0001,0.0001,3000,True,287,20090,9.707489372392128e-05,1,True,True,-10.0,10.0
df_quadratic_kappa,10,1,-10.0,10.0,DF-ADAM-H,5,542,0.05,0.02,"[0.005, 0.01, 0.02, 0.05, 0.1]",success_rate_then_mean_success_iters_then_final_grad_norm,0.01,5,5,3,0.0001,0.0001,3000,True,367,25690,9.742827445983544e-05,1,True,True,-10.0,10.0
df_quadratic_kappa,10,1,-10.0,10.0,DF-ADAM-H,6,642,0.05,0.02,"[0.005, 0.01, 0.02, 0.05, 0.1]",success_rate_then_mean_success_iters_then_final_grad_norm,0.01,5,5,3,0.0001,0.0001,3000,True,340,23800,9.054750642522413e-05,1,True,True,-10.0,10.0
df_quadratic_kappa,10,1,-10.0,10.0,DF-ADAM-H,7,742,0.05,0.02,"[0.005, 0.01, 0.02, 0.05, 0.1]",success_rate_then_mean_success_iters_then_final_grad_norm,0.01,5,5,3,0.0001,0.0001,3000,True,301,21070,9.602621870624213e-05,1,True,True,-10.0,10.0
df_quadratic_kappa,10,1,-10.0,10.0,DF-ADAM-H,8,842,0.05,0.02,"[0.005, 0.01, 0.02, 0.05, 0.1]",success_rate_then_mean_success_iters_then_final_grad_norm,0.01,5,5,3,0.0001,0.0001,3000,False,3000,210000,3.6412232174884407,1,True,False,-10.0,10.0
df_quadratic_kappa,10,1,-10.0,10.0,DF-ADAM-H,9,942,0.05,0.02,"[0.005, 0.01, 0.02, 0.05, 0.1]",success_rate_then_mean_success_iters_then_final_grad_norm,0.01,5,5,3,0.0001,0.0001,3000,True,332,23240,9.837305865035831e-05,1,True,True,-10.0,10.0
