experiment,method,trial,seed,sigma,tol,max_iter,iterations,converged,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
stochastic_noise,ADAM-H,0,42,0.0,1e-05,5000,239,True,8.325022463395726e-06,1,True,True,-10.0,1.0
stochastic_noise,ADAM-FC,0,42,0.0,1e-05,5000,925,True,9.830982889980078e-06,1,True,True,-10.0,1.0
stochastic_noise,HiSD,0,42,0.0,1e-05,5000,5000,False,0.0006452048546634614,1,True,False,-10.0,1.0
stochastic_noise,ADAM-H,0,42,0.01,0.005,5000,175,True,0.004926835186779499,1,True,True,-10.0,1.0
stochastic_noise,ADAM-FC,0,42,0.01,0.005,5000,5000,False,0.020145542919635773,1,True,False,-10.0,1.0
stochastic_noise,HiSD,0,42,0.01,0.005,5000,3153,True,0.004968022461980581,1,True,True,-10.0,1.0
stochastic_noise,ADAM-H,0,42,0.05,0.025,5000,355,True,0.021606942638754845,1,True,True,-10.0,1.0
stochastic_noise,ADAM-FC,0,42,0.05,0.025,5000,356,True,0.023573897778987885,1,True,True,-10.0,1.0
stochastic_noise,HiSD,0,42,0.05,0.025,5000,1437,True,0.024994470179080963,1,True,True,-10.0,1.0
stochastic_noise,ADAM-H,0,42,0.1,0.05,5000,86,True,0.044237878173589706,1,True,True,-10.0,1.0
stochastic_noise,ADAM-FC,0,42,0.1,0.05,5000,247,True,0.049264613538980484,1,True,True,-10.0,1.0
stochastic_noise,HiSD,0,42,0.1,0.05,5000,719,True,0.04922330752015114,1,True,True,-10.0,1.0
