experiment,d,kappa,lambda2,k,target_index,theta_deg,method,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,trial,seed,init_seed,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval,failure_reason
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,0,42,50042,False,3000,0.011689059436321259,210000,0.011689059436321259,1,True,False,-1.9999998807907104,0.12646709382534027,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,1,1042,50043,False,3000,0.01754978857934475,210000,0.01754978857934475,1,True,False,-1.9999977350234985,0.14442381262779236,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,2,2042,50044,False,3000,0.002543304581195116,210000,0.002543304581195116,1,True,False,-2.0,0.0403466522693634,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,3,3042,50045,False,3000,0.009881005622446537,210000,0.009881005622446537,1,True,False,-1.9999988079071045,0.0889141708612442,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,4,4042,50046,False,3000,0.05513090640306473,210000,0.05513090640306473,1,True,False,-1.9999948740005493,0.3535805344581604,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,5,5042,50047,False,3000,0.012708494439721107,210000,0.012708494439721107,0,False,False,0.021208032965660095,4.001333713531494,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,6,6042,50048,False,3000,0.05090507119894028,210000,0.05090507119894028,1,True,False,-1.9999969005584717,0.32410573959350586,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,7,7042,50049,False,3000,0.04087033495306969,210000,0.04087033495306969,0,False,False,0.03792358934879303,3.997446060180664,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,8,8042,50050,False,3000,0.019398847594857216,210000,0.019398847594857216,1,True,False,-1.9999985694885254,0.1700429767370224,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,9,9042,50051,False,3000,0.01779365912079811,210000,0.01779365912079811,0,False,False,0.02099771611392498,3.99507999420166,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,10,10042,50052,False,3000,0.01926589198410511,210000,0.01926589198410511,1,True,False,-2.0,0.16394679248332977,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.001,0.01,5,5,3,0.0001,0.001,3000,11,11042,50053,False,3000,0.0318288616836071,210000,0.0318288616836071,1,True,False,-1.9999970197677612,0.2158462554216385,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,0,42,50042,True,1964,0.0009965314529836178,137480,0.0009965314529836178,1,True,True,-2.0,0.02556457370519638,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,1,1042,50043,True,2200,0.0009986149379983544,154000,0.0009986149379983544,1,True,True,-2.0,0.024024857208132744,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,2,2042,50044,True,1076,0.0009952079271897674,75320,0.0009952079271897674,1,True,True,-2.0,0.02431589365005493,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,3,3042,50045,True,1765,0.0009925911435857415,123550,0.0009925911435857415,1,True,True,-2.0,0.023325283080339432,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,4,4042,50046,False,3000,0.001699006068520248,210000,0.001699006068520248,1,True,False,-2.0,0.03096199594438076,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,5,5042,50047,False,2002,0.0009964655619114637,140140,0.0009964655619114637,0,False,True,0.020013192668557167,3.9997942447662354,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,6,6042,50048,False,3000,0.0014069735771045089,210000,0.0014069735771045089,1,True,False,-1.9999998807907104,0.026853028684854507,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,7,7042,50049,False,3000,0.001581801101565361,210000,0.001581801101565361,0,False,False,0.02007981576025486,3.9998509883880615,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.005,0.01,5,5,3,0.0001,0.001,3000,8,8042,50050,True,2338,0.0009994023712351918,163660,0.0009994023712351918,1,True,True,-2.0,0.024760693311691284,
